STT,Role,Normalized Role,Email,Full Name,Shared Password (Mailpit),Created At,User ID
39,candidate,candidate,candidate39@gmail.test,Lý Quỳnh,TalentFlowTest#2026,,bf147d6b-ef5a-423c-b9df-faf532ec9d51
40,candidate,candidate,candidate40@gmail.test,Trương Son,TalentFlowTest#2026,,6a7dbb31-1445-4f80-b801-85f1140b4080
41,candidate,candidate,candidate41@gmail.test,Đinh Yến,TalentFlowTest#2026,,4fab09d4-507e-4bb0-87d1-c5917b57a0cb
42,candidate,candidate,candidate42@gmail.test,Lý Long,TalentFlowTest#2026,,0eaeb893-0429-4027-8ad6-2bc05305f5c7
43,candidate,candidate,candidate43@gmail.test,Dương Thảo,TalentFlowTest#2026,,66e4e298-5366-463f-93ae-8649893297ad
44,candidate,candidate,candidate44@gmail.test,Ngô Hà,TalentFlowTest#2026,,a1936556-cf7e-44d1-a15d-1a497fee06a1
45,candidate,candidate,candidate45@gmail.test,Hồ Duy,TalentFlowTest#2026,,15f03260-e1fb-4f01-870f-2eb42f566085
46,candidate,candidate,candidate46@gmail.test,Đỗ Châu,TalentFlowTest#2026,,30c30e67-a2c8-47fa-b588-dae029852294
47,candidate,candidate,candidate47@gmail.test,Bùi Bảo,TalentFlowTest#2026,,b62221a3-6ba4-405b-be48-89a822bbb237
48,candidate,candidate,candidate48@gmail.test,Đặng Mỹ,TalentFlowTest#2026,,e1a9f073-5c13-44cd-84d4-926836826bd3
49,candidate,candidate,candidate49@gmail.test,Võ Nam,TalentFlowTest#2026,,2562372d-50c5-4ec4-9007-2e2fe27ddcee
50,candidate,candidate,candidate50@gmail.test,Bùi Quang,TalentFlowTest#2026,,0135ce83-403c-4501-88c5-9de91f66559b
51,candidate,candidate,candidate51@gmail.test,Đặng Son,TalentFlowTest#2026,,ba8aab24-13df-4cb9-abf1-e6230b7084da
52,candidate,candidate,candidate52@gmail.test,Võ Yến,TalentFlowTest#2026,,276bf2ca-bd1c-4ee6-8d04-ee71840ff98a
53,candidate,candidate,candidate53@gmail.test,Vũ Long,TalentFlowTest#2026,,9fd4c71c-85fa-4aac-a090-09761d523c34
54,candidate,candidate,candidate54@gmail.test,Phan Thảo,TalentFlowTest#2026,,f0acc2a7-6820-4659-a775-258e6270b39b
55,candidate,candidate,candidate55@gmail.test,Hoàng Hà,TalentFlowTest#2026,,6c6e4ecf-96f1-451e-8903-b98ebed0e21c
56,candidate,candidate,candidate56@gmail.test,Phạm Duy,TalentFlowTest#2026,,78687054-8da2-4282-b9bd-ea702fe98480
57,candidate,candidate,candidate57@gmail.test,Lê Châu,TalentFlowTest#2026,,4f6e1b3a-7cd4-4fb8-aadc-ebf5ce22b7bc
58,candidate,candidate,candidate58@gmail.test,Trần Bảo,TalentFlowTest#2026,,f964356c-6705-4ea3-aa56-c29ba43ea8d4
59,candidate,candidate,candidate59@gmail.test,Nguyễn Mỹ,TalentFlowTest#2026,,87220bab-c1e6-4a37-9e0d-dfe1374f91e1
60,candidate,candidate,candidate60@gmail.test,Lê Thu,TalentFlowTest#2026,,264d479a-0c13-4b74-b30c-05f32a7034c3
61,candidate,candidate,candidate61@gmail.test,Trần Quang,TalentFlowTest#2026,,259c382d-66c4-457f-b2a9-bbee904c0503
62,candidate,candidate,candidate62@gmail.test,Nguyễn Son,TalentFlowTest#2026,,7ec7f433-c606-4d85-9731-898a0acdd903
63,candidate,candidate,candidate63@gmail.test,Cao Yến,TalentFlowTest#2026,,f873d8be-b67e-4b4d-a388-7f6da612ff94
64,candidate,candidate,candidate64@gmail.test,Lam Long,TalentFlowTest#2026,,49f32e9f-0b7f-4ce9-9b6c-e8255b63c8e5
65,candidate,candidate,candidate65@gmail.test,Mai Thảo,TalentFlowTest#2026,,9d15da47-f142-49fa-8028-e91a86ad24cc
66,candidate,candidate,candidate66@gmail.test,Trương Hà,TalentFlowTest#2026,,79c912ed-5e28-4a17-a18a-5685b88b8812
67,candidate,candidate,candidate67@gmail.test,Đinh Duy,TalentFlowTest#2026,,c484e01b-f045-45cd-b508-6d008b10d03c
68,candidate,candidate,candidate68@gmail.test,Lý Châu,TalentFlowTest#2026,,c1ee9103-cd76-4605-a50b-78c1b9d4252c
69,candidate,candidate,candidate69@gmail.test,Dương Bảo,TalentFlowTest#2026,,4ea9be22-e188-4e2a-96c9-ebcbbd2fc3da
70,candidate,candidate,candidate70@gmail.test,Đinh Tiến,TalentFlowTest#2026,,51106e14-a8f6-428f-8ef0-16754bf4fcad
71,candidate,candidate,candidate71@gmail.test,Lý Thu,TalentFlowTest#2026,,bae6d1fe-c607-4637-8e7e-8cd6225d515e
72,candidate,candidate,candidate72@gmail.test,Dương Quang,TalentFlowTest#2026,,b3d37391-693e-4f6b-a298-9e238fb2d215
73,candidate,candidate,candidate73@gmail.test,Ngô Son,TalentFlowTest#2026,,d32a86ef-f2b5-42e4-8043-249241178a40
74,candidate,candidate,candidate74@gmail.test,Hồ Yến,TalentFlowTest#2026,,1fd6ce83-279f-40b0-8b4f-cf09ee6688ce
75,candidate,candidate,candidate75@gmail.test,Đỗ Long,TalentFlowTest#2026,,9bfc2331-c420-4e65-b21c-71bbbec42ac3
76,candidate,candidate,candidate76@gmail.test,Bùi Thảo,TalentFlowTest#2026,,115350d7-cd77-4021-8cb6-c7d52614b2eb
77,candidate,candidate,candidate77@gmail.test,Đặng Hà,TalentFlowTest#2026,,2893d38f-bd9d-4389-8249-4ce613b9ef59
78,candidate,candidate,candidate78@gmail.test,Võ Duy,TalentFlowTest#2026,,d02c289e-85f6-44cb-9680-c38a5420a0f8
79,candidate,candidate,candidate79@gmail.test,Vũ Châu,TalentFlowTest#2026,,88209382-2c91-4eb8-8d8e-d717b2708e8c
80,candidate,candidate,candidate80@gmail.test,Đặng Phương,TalentFlowTest#2026,,a1344bd6-e94c-44cf-ac5c-d50ed46b117b
81,candidate,candidate,recruitment.platform.npc+candidate.smoke@gmail.test,Smoke Candidate Gmail,TalentFlowTest#2026,,9e391d48-0f37-4f79-8995-ae1deb5c090d
82,hr,hr,recruiter01@gmail.test,Đinh Trang,TalentFlowTest#2026,,66bd130c-6459-4a65-a709-24321982df4e
83,hr,hr,recruiter02@gmail.test,Lý Tuấn,TalentFlowTest#2026,,8fac4a8c-cb1c-4cc9-91d6-5440f81d883c
84,hr,hr,recruiter03@gmail.test,Dương Hoa,TalentFlowTest#2026,,747de534-bdad-4d3d-a1c8-b2c66d4b70c1
85,hr,hr,recruiter04@gmail.test,Ngô Linh,TalentFlowTest#2026,,107e35ae-8307-4408-bda5-f60d1eb73661
86,hr,hr,recruiter05@gmail.test,Hồ An,TalentFlowTest#2026,,8216e866-6fcc-4bd8-9508-5e5339ecfdb7
87,hr,hr,recruiter06@gmail.test,Đỗ Minh,TalentFlowTest#2026,,203c808a-b384-4a73-be35-ed05b2691d6a
88,hr,hr,recruiter07@gmail.test,Dương Tâm,TalentFlowTest#2026,,d7c7be02-6d7f-4191-8ad1-8fb92cb24d5d
89,hr,hr,recruiter08@gmail.test,Ngô Đạt,TalentFlowTest#2026,,2de8d606-c18f-419d-8eb4-1ac32b8f4eb7
90,hr,hr,recruiter09@gmail.test,Hồ Hồng,TalentFlowTest#2026,,4904bd84-7de3-42d9-9d09-4cdc8285dd99
91,hr,hr,recruiter10@gmail.test,Bùi Nhi,TalentFlowTest#2026,,9ef85c8b-eb77-435c-80d6-7057e7d5ffe0
92,hr,hr,recruiter11@gmail.test,Đặng Phúc,TalentFlowTest#2026,,81d3e951-9535-49e9-b930-d2be451721c3
93,hr,hr,recruiter12@gmail.test,Võ Trang,TalentFlowTest#2026,,68da89e0-04f0-411f-9850-d835d44698a8
94,hr,hr,recruiter13@gmail.test,Vũ Tuấn,TalentFlowTest#2026,,8c525500-d5ff-4373-a1e0-43d300c18e7c
95,hr,hr,recruiter14@gmail.test,Phan Hoa,TalentFlowTest#2026,,6bd8a11b-1797-400b-ac42-abfcdcb5534b
96,hr,hr,recruiter15@gmail.test,Hoàng Linh,TalentFlowTest#2026,,85a64edd-9039-4918-96c5-1d71972a69f0
97,hr,hr,recruiter16@gmail.test,Phạm An,TalentFlowTest#2026,,eba2a8be-bde8-4ef9-83e9-40f6b996887f
98,hr,hr,recruiter17@gmail.test,Lê Minh,TalentFlowTest#2026,,0861aead-ec94-428e-addb-78a18624c873
99,hr,hr,recruiter18@gmail.test,Trần Tâm,TalentFlowTest#2026,,2776bbb7-8bf3-4d96-8450-17bc5c5b3db7
100,hr,hr,recruiter19@gmail.test,Nguyễn Đạt,TalentFlowTest#2026,,efd84576-fc84-4e10-99cd-274f3325563a
101,hr,hr,recruiter20@gmail.test,Lê Khánh,TalentFlowTest#2026,,a585b466-48c8-415b-a899-36f42084b997
102,hr,hr,recruiter861scy@gmail.test,Lê Châu,TalentFlowTest#2026,,1f99e38c-e905-4de2-aa23-d5dae113ce85
103,hr,hr,recruitment.platform.npc+hr.smoke@gmail.test,Smoke HR Gmail,TalentFlowTest#2026,,67edce01-3993-491f-ac49-aaf18992500c
